firstTime,secondTime,corrAns,plusStart,secondStart,respStart,randNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,2.6527699459984433,,,,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
1.8,1.2,left,2.3,3.3,4.5,0.17368025899999998,0,0,0,0,,,,,,,,,,,,,,,left,1,2.5028670739993686,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
3.6,3.2,left,4.1,5.1,8.3,0.41458448299999995,0,1,1,1,,,,,,,,,,,,,,,right,0,2.2689110719948076,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
2.5,1.5,left,3.0,4.0,5.5,0.148607464,0,2,2,2,,,,,,,,,,,,,,,left,1,1.218823153001722,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
1.8,2.7,right,2.3,3.3,6.0,0.13554984,0,3,3,3,,,,,,,,,,,,,,,right,1,0.7522327400074573,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
1.2,1.8,right,1.7,2.7,4.5,0.309174352,0,4,4,4,,,,,,,,,,,,,,,right,1,0.35220361599931493,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
8.8,9.9,right,9.3,10.3,20.2,0.7009299529999999,0,5,5,5,,,,,,,,,,,,,,,right,1,1.1188435530057177,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
3.3,4.4,right,3.8,4.8,9.2,0.705723743,0,6,6,6,,,,,,,,,,,,,,,right,1,0.6521743210032582,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
3.5,2.1,left,4.0,5.0,7.1,0.544523215,0,7,7,7,,,,,,,,,,,,,,,left,1,1.168663436998031,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
1.4,0.7,left,1.9,2.9,3.6,0.53553232,0,8,8,8,,,,,,,,,,,,,,,right,0,2.702141893998487,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
4.4,3.3,left,4.9,5.9,9.2,0.255641654,0,9,9,9,,,,,,,,,,,,,,,left,1,1.9022436950035626,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
3.2,3.6,right,3.7,4.7,8.3,0.140100939,0,10,10,10,,,,,,,,,,,,,,,right,1,1.6022115380037576,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
2.8,2.1,left,3.3,4.3,6.4,0.019093293,0,11,11,11,,,,,,,,,,,,,,,left,1,5.018528971995693,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
0.9,1.8,right,1.4,2.4,4.2,0.461070472,0,12,12,12,,,,,,,,,,,,,,,right,1,4.235524293995695,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
2.1,2.8,right,2.6,3.6,6.4,0.22761601199999998,0,13,13,13,,,,,,,,,,,,,,,right,1,1.8687922669923864,,,,,,,559,001,2019_Mar_04_1107,TimingTask,3.0.4,60.00007187839826,
