firstTime,secondTime,corrAns,plusStart,secondStart,respStart,randNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,2.219458558000042,,,,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
1.8,1.2,left,2.3,3.3,4.5,0.17368025899999998,0,0,0,0,,,,,,,,,,,,,,,left,1,1.0381162269995912,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
3.6,3.2,left,4.1,5.1,8.3,0.41458448299999995,0,1,1,1,,,,,,,,,,,,,,,right,0,2.21887421800011,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
2.5,1.5,left,3.0,4.0,5.5,0.148607464,0,2,2,2,,,,,,,,,,,,,,,left,1,0.9688285120000728,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
1.8,2.7,right,2.3,3.3,6.0,0.13554984,0,3,3,3,,,,,,,,,,,,,,,right,1,0.602104215000054,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
1.2,1.8,right,1.7,2.7,4.5,0.309174352,0,4,4,4,,,,,,,,,,,,,,,right,1,0.8689204429997517,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
8.8,9.9,right,9.3,10.3,20.2,0.7009299529999999,0,5,5,5,,,,,,,,,,,,,,,right,1,0.6004251569997905,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
3.3,4.4,right,3.8,4.8,9.2,0.705723743,0,6,6,6,,,,,,,,,,,,,,,right,1,0.9354538040001898,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
3.5,2.1,left,4.0,5.0,7.1,0.544523215,0,7,7,7,,,,,,,,,,,,,,,left,1,1.0855567539997537,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
1.4,0.7,left,1.9,2.9,3.6,0.53553232,0,8,8,8,,,,,,,,,,,,,,,left,1,1.0688188839999384,,,,,,,626,001,2019_Apr_10_1232,TimingTask,3.0.4,59.99513667415293,
